"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","UI Тестирование игрового портала","0","Поиск и проверка игр","1","0","Кейс 3: Проверка скачивания CarX Drift Racing 2","0"
"0","UI Тестирование игрового портала","0","Поиск и проверка игр","1","0","Кейс 2: Проверка требований LEGO Batman","0"
"0","UI Тестирование игрового портала","0","Поиск и проверка игр","1","0","Кейс 1: Поиск игры Pioner","0"
